[2025-01-10 10:33:07,811: INFO: common: yaml file  from these path config\config.yaml successfully loaded]
[2025-01-10 10:37:19,804: INFO: common: yaml file  from these path config\config.yaml successfully loaded]
[2025-01-10 10:37:28,413: INFO: common: yaml file  from these path config\config.yaml successfully loaded]
[2025-01-10 10:37:44,387: INFO: common: yaml file  from these path config\config.yaml successfully loaded]
[2025-01-10 10:39:27,137: INFO: common: yaml file  from these path config\config.yaml successfully loaded]
[2025-01-10 10:39:27,137: INFO: common: yaml file  from these path params.yaml successfully loaded]
[2025-01-10 10:40:29,050: INFO: common: yaml file  from these path config\config.yaml successfully loaded]
[2025-01-10 10:40:29,069: INFO: common: yaml file  from these path params.yaml successfully loaded]
[2025-01-10 10:40:29,069: INFO: common: yaml file  from these path schema.yaml successfully loaded]
[2025-01-10 10:40:29,077: INFO: common: successfully created directory at :artifacts]
[2025-01-10 10:40:29,078: INFO: common: successfully created directory at :artifacts/data_ingestion]
[2025-01-10 10:48:35,872: INFO: common: yaml file  from these path config\config.yaml successfully loaded]
[2025-01-10 10:48:35,872: INFO: common: yaml file  from these path params.yaml successfully loaded]
[2025-01-10 10:48:35,875: INFO: common: yaml file  from these path schema.yaml successfully loaded]
[2025-01-10 10:48:35,876: INFO: common: successfully created directory at :artifacts]
[2025-01-10 10:48:35,877: INFO: common: successfully created directory at :artifacts/data_ingestion]
